N,expected eig,est_eig,time,Eigstate accuracy,exact eig
2,-6.0,-6.0,1.604,(1+0j),-6.0
3,-6.0,-6.0,3.251,(-0.517+0j),-6.0
4,-17.799,-17.124,16.219,(-0.988+0j),-17.799
5,-16.326,-16.237,28.339,(0.288+0j),-16.326
6,-25.0,-23.509,83.425,(-0.963+0j),-25.0
7,-25.342,-24.373,127.989,(-0.919-0j),-25.342
8,-32.584,-30.25,274.108,(0.931+0j),-32.584
9,-33.88,-32.332,381.376,(-0.872+0j),-33.88
10,-40.305,-37.187,707.801,(-0.888-0j),-40.305
11,-42.194,-40.144,950.15,(-0.206-0j),-42.194
12,-48.092,-44.427,1719.311,(-0.837+0j),-48.092
