N,time,est_eig,exact eig
2,2.773,0.0,2.942135652834194e-13
3,5.361,0.0,1.502090199032114e-20
3,12.666,1.0,1.0
4,8.51,-1.0,-0.9999999999999069
4,28.835,-0.732,-0.8284271247461898
4,41.246,1.0,1.0000000000000637
5,12.149,-0.618,-0.6180339887498933
5,48.767,-0.592,-0.6180339862584132
5,84.212,0.708,0.3819660132705566
5,104.066,2.382,2.3819660112269423
6,16.559,-0.631,-0.9999997107609406
6,77.033,-1.32,-1.4641016151314405
6,144.063,-0.787,-0.9999999999998528
6,195.584,0.68,0.5358983848656595
6,228.788,3.0,2.5085098796704544
7,21.613,-0.801,-0.8019377350695324
7,110.433,-1.158,-1.246959285333427
7,220.259,-0.876,-1.0489173365205606
7,314.358,0.112,-0.04891733440149054
7,396.236,2.185,1.7530628216936062
7,445.291,4.198,-1.186396518459827
8,27.587,-0.794,-0.9998856934855146
8,151.218,-1.553,-1.6955179675420575
8,313.911,-1.528,-1.8284271236743055
8,465.845,-0.894,-1.2262518594146399
8,605.587,0.449,0.17157287647024752
8,725.476,2.445,2.3044143616665886
8,780.775,5.0,-1.8011647988824087
